Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,rval,kincat2,start1,destination1,start2,destination2,avg.rank1,avg.rank2,RankDiff,dob1,dob2,agediff,outcome.long,outcome.short
fd_qp,1860,Dispersal 1,fd,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.395,0.500,11/28/99,1/23/06,6.154688569,never together,never
fd_tr,1935,Dispersal 1,fd,tr,1.6333,f,PHG,f,PHG,ff,same,0.0008,0,Non-kin,PHG,PHG,PHG,YNT,0.895,0.684,0.211,11/28/99,NA,NA,split apart,split
fd_ty,1890,Dispersal 1,fd,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.399,0.496,11/28/99,8/6/09,9.689253936,stayed together,stayed
fd_ua,1860,Dispersal 1,fd,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,1.000,0.105,11/28/99,3/19/05,5.305954825,never together,never
fd_ug,1965,Dispersal 1,fd,ug,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.197,0.697,11/28/99,10/27/08,8.914442163,stayed together,stayed
fd_uj,1935,Dispersal 1,fd,uj,1.6167,f,PHG,f,PHG,ff,same,0.0008,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.254,0.640,11/28/99,4/19/10,10.39014374,stayed together,stayed
fd_uk,1920,Dispersal 1,fd,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.067,0.828,11/28/99,2/26/09,9.248459959,never together,never
fd_un,1890,Dispersal 1,fd,un,1.4333,f,PHG,f,PHG,ff,same,0.0008,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.101,0.794,11/28/99,11/20/00,0.980150582,stayed together,stayed
fd_ur,1935,Dispersal 1,fd,ur,21.3833,f,PHG,f,PHG,ff,same,0.0111,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.484,0.410,11/28/99,8/3/02,2.680355921,stayed together,stayed
fd_ut,1860,Dispersal 1,fd,ut,4.7833,f,PHG,f,ENK,ff,different,0.0026,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.183,0.712,11/28/99,2/27/99,0.750171116,never together,never
fd_uv,1875,Dispersal 1,fd,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.895,0.822,0.073,11/28/99,7/24/07,7.65229295,never together,never
fd_ux,1920,Dispersal 1,fd,ux,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,PHG,ENK,0.895,0.000,0.895,11/28/99,1/15/07,7.1321013,split apart,split
fd_uz,1920,Dispersal 1,fd,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.313,0.581,11/28/99,5/27/08,8.495550992,stayed together,stayed
fd_yp,1860,Dispersal 1,fd,yp,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.895,0.933,0.039,11/28/99,2/23/11,11.23887748,stayed together,stayed
fx_gm,1965,Dispersal 1,fx,gm,0.0000,f,PHG,f,PHG,ff,same,0.0000,0.25,Sibling,PHG,PHG,PHG,PHG,0.824,0.667,0.157,11/24/05,2/12/11,5.2183436,stayed together,stayed
fx_o6,1950,Dispersal 1,fx,o6,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.144,0.680,11/24/05,11/21/09,3.991786448,split apart,split
fx_oa,2040,Dispersal 1,fx,oa,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.669,0.155,11/24/05,9/14/01,4.194387406,split apart,split
fx_ob,1995,Dispersal 1,fx,ob,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.436,0.388,11/24/05,7/11/08,2.628336756,split apart,split
fx_oo,1980,Dispersal 1,fx,oo,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.648,0.176,11/24/05,4/8/07,1.368925394,split apart,split
fx_oy,2040,Dispersal 1,fx,oy,2.3000,f,PHG,f,PHG,ff,same,0.0011,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.030,0.794,11/24/05,4/6/07,1.363449692,stayed together,stayed
fx_qc,1920,Dispersal 1,fx,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.636,0.188,11/24/05,4/6/10,4.364134155,never together,never
fx_qn,1890,Dispersal 1,fx,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.559,0.265,11/24/05,5/24/07,1.49486653,never together,never
fx_qp,1920,Dispersal 1,fx,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.395,0.429,11/24/05,1/23/06,0.164271047,never together,never
fx_tr,1995,Dispersal 1,fx,tr,2.2833,f,PHG,f,PHG,ff,same,0.0011,0,Non-kin,PHG,PHG,PHG,YNT,0.824,0.684,0.140,11/24/05,NA,NA,split apart,split
fx_ty,1950,Dispersal 1,fx,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.399,0.425,11/24/05,8/6/09,3.698836413,stayed together,stayed
fx_ua,1920,Dispersal 1,fx,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,1.000,0.176,11/24/05,3/19/05,0.684462697,never together,never
fx_ug,2025,Dispersal 1,fx,ug,3.5333,f,PHG,f,PHG,ff,same,0.0017,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.197,0.627,11/24/05,10/27/08,2.924024641,stayed together,stayed
fx_uj,1995,Dispersal 1,fx,uj,0.0500,f,PHG,f,PHG,ff,same,2.5062656641604e-05,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.254,0.570,11/24/05,4/19/10,4.399726215,stayed together,stayed
fx_uk,1980,Dispersal 1,fx,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.067,0.757,11/24/05,2/26/09,3.258042437,never together,never
fx_un,1950,Dispersal 1,fx,un,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.101,0.723,11/24/05,11/20/00,5.01026694,stayed together,stayed
fx_ur,1995,Dispersal 1,fx,ur,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.484,0.340,11/24/05,8/3/02,3.310061602,stayed together,stayed
fx_ut,1920,Dispersal 1,fx,ut,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.183,0.641,11/24/05,2/27/99,6.740588638,never together,never
fx_uv,1935,Dispersal 1,fx,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.824,0.822,0.002,11/24/05,7/24/07,1.661875428,never together,never
fx_ux,1980,Dispersal 1,fx,ux,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,PHG,ENK,0.824,0.000,0.824,11/24/05,1/15/07,1.141683778,split apart,split
fx_uz,1980,Dispersal 1,fx,uz,1.1500,f,PHG,f,PHG,ff,same,0.0006,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.313,0.511,11/24/05,5/27/08,2.50513347,stayed together,stayed
fx_yp,1920,Dispersal 1,fx,yp,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.824,0.933,0.110,11/24/05,2/23/11,5.248459959,stayed together,stayed
gm_o6,1875,Dispersal 1,gm,o6,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.667,0.144,0.523,2/12/11,11/21/09,1.226557153,split apart,split
gm_oa,1965,Dispersal 1,gm,oa,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.667,0.669,0.002,2/12/11,9/14/01,9.412731006,split apart,split
gm_ob,1920,Dispersal 1,gm,ob,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.667,0.436,0.232,2/12/11,7/11/08,2.590006845,split apart,split
gm_oo,1905,Dispersal 1,gm,oo,0.6833,f,PHG,f,ENK,ff,different,0.0004,0,Non-kin,PHG,PHG,PHG,YNT,0.667,0.648,0.019,2/12/11,4/8/07,3.849418207,split apart,split
gm_oy,1965,Dispersal 1,gm,oy,1.0833,f,PHG,f,PHG,ff,same,0.0006,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.030,0.637,2/12/11,4/6/07,3.854893908,stayed together,stayed
gm_qc,1845,Dispersal 1,gm,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,0.636,0.032,2/12/11,4/6/10,0.854209446,never together,never
gm_qn,1815,Dispersal 1,gm,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,0.559,0.109,2/12/11,5/24/07,3.72347707,never together,never
gm_qp,1845,Dispersal 1,gm,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,0.395,0.273,2/12/11,1/23/06,5.054072553,never together,never
gm_tr,1920,Dispersal 1,gm,tr,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,YNT,0.667,0.684,0.016,2/12/11,NA,NA,split apart,split
gm_ty,1875,Dispersal 1,gm,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.399,0.268,2/12/11,8/6/09,1.519507187,stayed together,stayed
gm_ua,1845,Dispersal 1,gm,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,1.000,0.333,2/12/11,3/19/05,5.902806297,never together,never
gm_ug,1950,Dispersal 1,gm,ug,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.197,0.470,2/12/11,10/27/08,2.29431896,stayed together,stayed
gm_uj,1920,Dispersal 1,gm,uj,3.4833,f,PHG,f,PHG,ff,same,0.0018,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.254,0.413,2/12/11,4/19/10,0.818617385,stayed together,stayed
gm_uk,1905,Dispersal 1,gm,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,0.067,0.601,2/12/11,2/26/09,1.960301164,never together,never
gm_un,1875,Dispersal 1,gm,un,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.101,0.566,2/12/11,11/20/00,10.22861054,stayed together,stayed
gm_ur,1920,Dispersal 1,gm,ur,2.8500,f,PHG,f,PHG,ff,same,0.0015,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.484,0.183,2/12/11,8/3/02,8.528405202,stayed together,stayed
gm_ut,1845,Dispersal 1,gm,ut,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,0.183,0.484,2/12/11,2/27/99,11.95893224,never together,never
gm_uv,1860,Dispersal 1,gm,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,ENK,ENK,0.667,0.822,0.154,2/12/11,7/24/07,3.556468172,never together,never
gm_ux,1905,Dispersal 1,gm,ux,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,PHG,PHG,ENK,0.667,0.000,0.667,2/12/11,1/15/07,4.076659822,split apart,split
gm_uz,1905,Dispersal 1,gm,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.313,0.354,2/12/11,5/27/08,2.71321013,stayed together,stayed
gm_yp,1845,Dispersal 1,gm,yp,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,PHG,PHG,PHG,0.667,0.933,0.266,2/12/11,2/23/11,0.030116359,stayed together,stayed
o6_oa,1950,Dispersal 1,o6,oa,5.7667,f,PHG,f,PHG,ff,same,0.0030,0.5,Mother-offspring,PHG,YNT,PHG,YNT,0.144,0.669,0.525,11/21/09,9/14/01,8.186173854,stayed together,stayed
o6_ob,1905,Dispersal 1,o6,ob,9.2833,f,PHG,f,ENK,ff,different,0.0049,0.25,Sibling,PHG,YNT,PHG,YNT,0.144,0.436,0.292,11/21/09,7/11/08,1.363449692,stayed together,stayed
o6_oo,1890,Dispersal 1,o6,oo,4.7500,f,PHG,f,ENK,ff,different,0.0025,0,Non-kin,PHG,YNT,PHG,YNT,0.144,0.648,0.504,11/21/09,4/8/07,2.622861054,stayed together,stayed
o6_oy,1950,Dispersal 1,o6,oy,0.0000,f,PHG,f,PHG,ff,same,0.0000,0.25,Sibling,PHG,YNT,PHG,PHG,0.144,0.030,0.114,11/21/09,4/6/07,2.628336756,split apart,split
o6_qc,1830,Dispersal 1,o6,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.636,0.492,11/21/09,4/6/10,0.372347707,briefly together,briefly
o6_qn,1800,Dispersal 1,o6,qn,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.559,0.415,11/21/09,5/24/07,2.496919918,briefly together,briefly
o6_qp,1830,Dispersal 1,o6,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.395,0.250,11/21/09,1/23/06,3.8275154,briefly together,briefly
o6_tr,1905,Dispersal 1,o6,tr,6.2667,f,PHG,f,PHG,ff,same,0.0033,0,Non-kin,PHG,YNT,PHG,YNT,0.144,0.684,0.539,11/21/09,NA,NA,stayed together,stayed
o6_ty,1860,Dispersal 1,o6,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.399,0.255,11/21/09,8/6/09,0.292950034,split apart,split
o6_ua,1830,Dispersal 1,o6,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,1.000,0.856,11/21/09,3/19/05,4.676249144,briefly together,briefly
o6_ug,1935,Dispersal 1,o6,ug,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.197,0.053,11/21/09,10/27/08,1.067761807,split apart,split
o6_uj,1905,Dispersal 1,o6,uj,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.254,0.110,11/21/09,4/19/10,0.407939767,split apart,split
o6_uk,1890,Dispersal 1,o6,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.067,0.078,11/21/09,2/26/09,0.733744011,briefly together,briefly
o6_un,1860,Dispersal 1,o6,un,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.101,0.043,11/21/09,11/20/00,9.002053388,split apart,split
o6_ur,1905,Dispersal 1,o6,ur,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.484,0.340,11/21/09,8/3/02,7.301848049,split apart,split
o6_ut,1830,Dispersal 1,o6,ut,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.183,0.039,11/21/09,2/27/99,10.73237509,briefly together,briefly
o6_uv,1845,Dispersal 1,o6,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.144,0.822,0.677,11/21/09,7/24/07,2.32991102,briefly together,briefly
o6_ux,1890,Dispersal 1,o6,ux,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,ENK,0.144,0.000,0.144,11/21/09,1/15/07,2.850102669,split apart,split
o6_uz,1890,Dispersal 1,o6,uz,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.313,0.169,11/21/09,5/27/08,1.486652977,split apart,split
o6_yp,1830,Dispersal 1,o6,yp,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.144,0.933,0.789,11/21/09,2/23/11,1.256673511,split apart,split
oa_ob,1995,Dispersal 1,oa,ob,16.2167,f,PHG,f,ENK,ff,different,0.0081,0.5,Mother-offspring,PHG,YNT,PHG,YNT,0.669,0.436,0.234,9/14/01,7/11/08,6.822724162,stayed together,stayed
oa_oo,1980,Dispersal 1,oa,oo,20.4333,f,PHG,f,ENK,ff,different,0.0103,0,Non-kin,PHG,YNT,PHG,YNT,0.669,0.648,0.021,9/14/01,4/8/07,5.563312799,stayed together,stayed
oa_oy,2040,Dispersal 1,oa,oy,0.0000,f,PHG,f,PHG,ff,same,0.0000,0.5,Mother-offspring,PHG,YNT,PHG,PHG,0.669,0.030,0.639,9/14/01,4/6/07,5.557837098,split apart,split
oa_qc,1920,Dispersal 1,oa,qc,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.669,0.636,0.034,9/14/01,4/6/10,8.558521561,briefly together,briefly
oa_qn,1890,Dispersal 1,oa,qn,0.3667,f,PHG,f,ENK,ff,different,0.0002,0,Non-kin,PHG,YNT,ENK,ENK,0.669,0.559,0.111,9/14/01,5/24/07,5.689253936,briefly together,briefly
oa_qp,1920,Dispersal 1,oa,qp,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.669,0.395,0.275,9/14/01,1/23/06,4.358658453,briefly together,briefly
oa_tr,1995,Dispersal 1,oa,tr,38.1000,f,PHG,f,PHG,ff,same,0.0191,0,Non-kin,PHG,YNT,PHG,YNT,0.669,0.684,0.014,9/14/01,NA,NA,stayed together,stayed
oa_ty,1950,Dispersal 1,oa,ty,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.399,0.270,9/14/01,8/6/09,7.893223819,split apart,split
oa_ua,1920,Dispersal 1,oa,ua,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.669,1.000,0.331,9/14/01,3/19/05,3.509924709,briefly together,briefly
oa_ug,2025,Dispersal 1,oa,ug,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.197,0.472,9/14/01,10/27/08,7.118412047,split apart,split
oa_uj,1995,Dispersal 1,oa,uj,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.254,0.415,9/14/01,4/19/10,8.594113621,split apart,split
oa_uk,1980,Dispersal 1,oa,uk,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.669,0.067,0.603,9/14/01,2/26/09,7.452429843,briefly together,briefly
oa_un,1950,Dispersal 1,oa,un,3.8667,f,PHG,f,PHG,ff,same,0.0020,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.101,0.568,9/14/01,11/20/00,0.815879535,split apart,split
oa_ur,1995,Dispersal 1,oa,ur,6.4833,f,PHG,f,PHG,ff,same,0.0032,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.484,0.185,9/14/01,8/3/02,0.884325804,split apart,split
oa_ut,1920,Dispersal 1,oa,ut,0.3000,f,PHG,f,ENK,ff,different,0.0002,0,Non-kin,PHG,YNT,ENK,ENK,0.669,0.183,0.486,9/14/01,2/27/99,2.546201232,briefly together,briefly
oa_uv,1935,Dispersal 1,oa,uv,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.669,0.822,0.152,9/14/01,7/24/07,5.856262834,briefly together,briefly
oa_ux,1980,Dispersal 1,oa,ux,0.0000,f,PHG,f,ENK,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,ENK,0.669,0.000,0.669,9/14/01,1/15/07,5.336071184,split apart,split
oa_uz,1980,Dispersal 1,oa,uz,5.3333,f,PHG,f,PHG,ff,same,0.0027,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.313,0.356,9/14/01,5/27/08,6.699520876,split apart,split
oa_yp,1920,Dispersal 1,oa,yp,0.0000,f,PHG,f,PHG,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.669,0.933,0.264,9/14/01,2/23/11,9.442847365,split apart,split
ob_oo,1935,Dispersal 1,ob,oo,5.2500,f,ENK,f,ENK,ff,same,0.0027,0,Non-kin,PHG,YNT,PHG,YNT,0.436,0.648,0.212,7/11/08,4/8/07,1.259411362,stayed together,stayed
ob_oy,1995,Dispersal 1,ob,oy,0.0000,f,ENK,f,PHG,ff,different,0.0000,0.25,Sibling,PHG,YNT,PHG,PHG,0.436,0.030,0.406,7/11/08,4/6/07,1.264887064,split apart,split
ob_qc,1875,Dispersal 1,ob,qc,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,0.636,0.200,7/11/08,4/6/10,1.735797399,briefly together,briefly
ob_qn,1845,Dispersal 1,ob,qn,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,0.559,0.123,7/11/08,5/24/07,1.133470226,briefly together,briefly
ob_qp,1875,Dispersal 1,ob,qp,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,0.395,0.041,7/11/08,1/23/06,2.464065708,briefly together,briefly
ob_tr,1950,Dispersal 1,ob,tr,0.4167,f,ENK,f,PHG,ff,different,0.0002,0,Non-kin,PHG,YNT,PHG,YNT,0.436,0.684,0.248,7/11/08,NA,NA,stayed together,stayed
ob_ty,1905,Dispersal 1,ob,ty,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.399,0.037,7/11/08,8/6/09,1.070499658,split apart,split
ob_ua,1875,Dispersal 1,ob,ua,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,1.000,0.564,7/11/08,3/19/05,3.312799452,briefly together,briefly
ob_ug,1980,Dispersal 1,ob,ug,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.197,0.239,7/11/08,10/27/08,0.295687885,split apart,split
ob_uj,1950,Dispersal 1,ob,uj,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.254,0.182,7/11/08,4/19/10,1.771389459,split apart,split
ob_uk,1935,Dispersal 1,ob,uk,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,0.067,0.369,7/11/08,2/26/09,0.629705681,briefly together,briefly
ob_un,1905,Dispersal 1,ob,un,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.101,0.335,7/11/08,11/20/00,7.638603696,split apart,split
ob_ur,1950,Dispersal 1,ob,ur,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.484,0.049,7/11/08,8/3/02,5.938398357,split apart,split
ob_ut,1875,Dispersal 1,ob,ut,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,0.183,0.253,7/11/08,2/27/99,9.368925394,briefly together,briefly
ob_uv,1890,Dispersal 1,ob,uv,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.436,0.822,0.386,7/11/08,7/24/07,0.966461328,briefly together,briefly
ob_ux,1935,Dispersal 1,ob,ux,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,PHG,ENK,0.436,0.000,0.436,7/11/08,1/15/07,1.486652977,split apart,split
ob_uz,1935,Dispersal 1,ob,uz,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.313,0.123,7/11/08,5/27/08,0.123203285,split apart,split
ob_yp,1875,Dispersal 1,ob,yp,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.436,0.933,0.498,7/11/08,2/23/11,2.620123203,split apart,split
oo_oy,1980,Dispersal 1,oo,oy,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.648,0.030,0.618,4/8/07,4/6/07,0.005475702,split apart,split
oo_qc,1860,Dispersal 1,oo,qc,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.648,0.636,0.012,4/8/07,4/6/10,2.995208761,briefly together,briefly
oo_qn,1830,Dispersal 1,oo,qn,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.648,0.559,0.089,4/8/07,5/24/07,0.125941136,briefly together,briefly
oo_qp,1860,Dispersal 1,oo,qp,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.648,0.395,0.253,4/8/07,1/23/06,1.204654346,briefly together,briefly
oo_tr,1935,Dispersal 1,oo,tr,11.5000,f,ENK,f,PHG,ff,different,0.0059,0,Non-kin,PHG,YNT,PHG,YNT,0.648,0.684,0.035,4/8/07,NA,NA,stayed together,stayed
oo_ty,1890,Dispersal 1,oo,ty,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.648,0.399,0.249,4/8/07,8/6/09,2.32991102,split apart,split
oo_ua,1860,Dispersal 1,oo,ua,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.648,1.000,0.352,4/8/07,3/19/05,2.05338809,briefly together,briefly
oo_ug,1965,Dispersal 1,oo,ug,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.648,0.197,0.451,4/8/07,10/27/08,1.555099247,split apart,split
oo_uj,1935,Dispersal 1,oo,uj,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.648,0.254,0.394,4/8/07,4/19/10,3.030800821,split apart,split
oo_uk,1920,Dispersal 1,oo,uk,0.0000,f,ENK,f,ENK,ff,same,0.0000,0,Non-kin,PHG,YNT,ENK,ENK,0.648,0.067,0.581,4/8/07,2/26/09,1.889117043,briefly together,briefly
oo_un,1890,Dispersal 1,oo,un,0.0000,f,ENK,f,PHG,ff,different,0.0000,0,Non-kin,PHG,YNT,PHG,PHG,0.648,0.101,0.547,4/8/07,11/20/00,6.379192334,split apart,split
