Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
bf_sn,1725,Dispersal 1,bf,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,1.000,0.453,PHG,PHG,ENK,PHG,stayed together,,
bf_sn,2460,Fission,bf,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,1.000,0.453,PHG,PHG,ENK,PHG,stayed together,,
bf_sn,3600,Stable,bf,sn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.547,1.000,0.453,PHG,PHG,ENK,PHG,stayed together,,
bf_tp,1545,Dispersal 2,bf,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,1.000,0.323,PHG,PHG,ENK,YNT,split apart,,
bf_tp,1800,Dispersal 1,bf,tp,3.850,f,PHG,m,ENK,fm,different,0.0021,0.677,1.000,0.323,PHG,PHG,ENK,YNT,split apart,,
bf_tp,2520,Fission,bf,tp,12.383,f,PHG,m,ENK,fm,different,0.0049,0.677,1.000,0.323,PHG,PHG,ENK,YNT,split apart,,
bf_tp,3570,Stable,bf,tp,22.917,f,PHG,m,ENK,fm,different,0.0064,0.677,1.000,0.323,PHG,PHG,ENK,YNT,split apart,,
bf_ub,375,Dispersal 2,bf,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,1.000,0.977,PHG,PHG,PHG,PHG,stayed together,,
bf_ub,1410,Fission,bf,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,1.000,0.977,PHG,PHG,PHG,PHG,stayed together,,
bf_um,885,Dispersal 2,bf,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,1.000,0.849,PHG,PHG,PHG,PHG,stayed together,,
bf_um,2040,Fission,bf,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,1.000,0.849,PHG,PHG,PHG,PHG,stayed together,,
bt_by,1515,Dispersal 2,bt,by,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.288,0.381,PHG,PHG,ENK,ENK,never together,,
bt_by,1665,Dispersal 1,bt,by,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.288,0.381,PHG,PHG,ENK,ENK,never together,,
bt_by,3390,Stable,bt,by,0.000,m,PHG,f,ENK,fm,different,0.0000,0.669,0.288,0.381,PHG,PHG,ENK,ENK,never together,,
