Dyad,Obs.effort,period,id1,id2,Grooming,sex1,group1,sex2,group2,sex.combo,group.combo,groom.prop,Male.Rank,Fem.Rank,RankDiff,s1,d1,s2,d2,outcome,,
fx_oz,3525,Stable,fx,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.824,0.192,PHG,PHG,ENK,PHG,stayed together,,
fx_ph,1575,Dispersal 2,fx,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.824,0.538,PHG,PHG,PHG,PHG,stayed together,,
fx_ph,1815,Dispersal 1,fx,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.824,0.538,PHG,PHG,PHG,PHG,stayed together,,
fx_ph,2505,Fission,fx,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.824,0.538,PHG,PHG,PHG,PHG,stayed together,,
fx_ph,3555,Stable,fx,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.824,0.538,PHG,PHG,PHG,PHG,stayed together,,
fx_pz,1530,Dispersal 2,fx,pz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.692,0.824,0.132,PHG,PHG,PHG,PHG,stayed together,,
fx_pz,1770,Dispersal 1,fx,pz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.692,0.824,0.132,PHG,PHG,PHG,PHG,stayed together,,
fx_pz,2520,Fission,fx,pz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.692,0.824,0.132,PHG,PHG,PHG,PHG,stayed together,,
fx_pz,3570,Stable,fx,pz,8.100,f,PHG,m,PHG,fm,same,0.0023,0.692,0.824,0.132,PHG,PHG,PHG,PHG,stayed together,,
fx_s1,1560,Dispersal 2,fx,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.824,0.607,PHG,PHG,ENK,ENK,never together,,
fx_s1,1815,Dispersal 1,fx,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.824,0.607,PHG,PHG,ENK,ENK,never together,,
fx_s1,2535,Fission,fx,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.824,0.607,PHG,PHG,ENK,ENK,never together,,
fx_s1,3630,Stable,fx,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.824,0.607,PHG,PHG,ENK,ENK,never together,,
fx_s3,1725,Stable,fx,s3,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.824,0.617,PHG,PHG,ENK,ENK,never together,,
fx_sn,1575,Dispersal 2,fx,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,0.824,0.277,PHG,PHG,ENK,PHG,stayed together,,
fx_sn,1725,Dispersal 1,fx,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,0.824,0.277,PHG,PHG,ENK,PHG,stayed together,,
fx_sn,2475,Fission,fx,sn,6.033,f,PHG,m,PHG,fm,same,0.0024,0.547,0.824,0.277,PHG,PHG,ENK,PHG,stayed together,,
fx_sn,3630,Stable,fx,sn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.547,0.824,0.277,PHG,PHG,ENK,PHG,stayed together,,
fx_tp,1545,Dispersal 2,fx,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.824,0.147,PHG,PHG,ENK,YNT,split apart,,
fx_tp,1800,Dispersal 1,fx,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.824,0.147,PHG,PHG,ENK,YNT,split apart,,
fx_tp,2535,Fission,fx,tp,21.350,f,PHG,m,ENK,fm,different,0.0084,0.677,0.824,0.147,PHG,PHG,ENK,YNT,split apart,,
fx_tp,3600,Stable,fx,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.824,0.147,PHG,PHG,ENK,YNT,split apart,,
fx_ub,360,Dispersal 2,fx,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.824,0.801,PHG,PHG,PHG,PHG,stayed together,,
fx_ub,1425,Fission,fx,ub,0.300,f,PHG,m,PHG,fm,same,0.0002,0.023,0.824,0.801,PHG,PHG,PHG,PHG,stayed together,,
fx_um,885,Dispersal 2,fx,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.824,0.673,PHG,PHG,PHG,PHG,stayed together,,
fx_um,2055,Fission,fx,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.824,0.673,PHG,PHG,PHG,PHG,stayed together,,
fx_xc,1440,Stable,fx,xc,0.000,f,PHG,m,PHG,fm,same,0.0000,0.051,0.824,0.773,PHG,PHG,PHG,PHG,stayed together,,
fx_xc,1785,Dispersal 1,fx,xc,0.000,f,PHG,m,PHG,fm,same,0.0000,0.051,0.824,0.773,PHG,PHG,PHG,PHG,stayed together,,
fx_xh,705,Dispersal 2,fx,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.824,0.656,PHG,PHG,PHG,ENK,never together,,
fx_xh,2445,Fission,fx,xh,1.300,f,PHG,m,PHG,fm,same,0.0005,0.168,0.824,0.656,PHG,PHG,PHG,ENK,never together,,
fx_yn,1545,Dispersal 2,fx,yn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.945,0.824,0.121,PHG,PHG,PHG,YNT,split apart,,
fx_yn,1815,Dispersal 1,fx,yn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.945,0.824,0.121,PHG,PHG,PHG,YNT,split apart,,
fx_yn,2535,Fission,fx,yn,0.000,f,PHG,m,YNT,fm,different,0.0000,0.945,0.824,0.121,PHG,PHG,PHG,YNT,split apart,,
fx_yn,3570,Stable,fx,yn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.945,0.824,0.121,PHG,PHG,PHG,YNT,split apart,,
fx_yr,1590,Dispersal 2,fx,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.824,0.217,PHG,PHG,PHG,ENK,never together,,
fx_yr,1800,Dispersal 1,fx,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.824,0.217,PHG,PHG,PHG,ENK,never together,,
fx_yr,2520,Fission,fx,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.824,0.217,PHG,PHG,PHG,ENK,never together,,
fx_yr,3600,Stable,fx,yr,0.000,f,PHG,m,PHG,fm,same,0.0000,0.607,0.824,0.217,PHG,PHG,PHG,ENK,never together,,
fx_yy,390,Stable,fx,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.824,0.617,PHG,PHG,ENK,ENK,never together,,
fx_yy,1545,Dispersal 2,fx,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.824,0.617,PHG,PHG,ENK,ENK,never together,,
fx_yy,1785,Dispersal 1,fx,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.824,0.617,PHG,PHG,ENK,ENK,never together,,
fx_yy,2565,Fission,fx,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.824,0.617,PHG,PHG,ENK,ENK,never together,,
gm_jj,1485,Dispersal 2,gm,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.667,0.411,PHG,PHG,ENK,ENK,never together,,
gm_jj,1710,Dispersal 1,gm,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.667,0.411,PHG,PHG,ENK,ENK,never together,,
gm_jj,2550,Fission,gm,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.667,0.411,PHG,PHG,ENK,ENK,never together,,
gm_jy,1530,Dispersal 2,gm,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,0.667,0.106,PHG,PHG,PHG,PHG,stayed together,,
gm_jy,1695,Dispersal 1,gm,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,0.667,0.106,PHG,PHG,PHG,PHG,stayed together,,
gm_jy,2535,Fission,gm,jy,4.683,f,PHG,m,PHG,fm,same,0.0018,0.561,0.667,0.106,PHG,PHG,PHG,PHG,stayed together,,
gm_oe,1515,Dispersal 2,gm,oe,6.417,f,PHG,m,PHG,fm,same,0.0042,0.842,0.667,0.174,PHG,PHG,PHG,ENK,never together,,
gm_oe,1650,Dispersal 1,gm,oe,1.217,f,PHG,m,PHG,fm,same,0.0007,0.842,0.667,0.174,PHG,PHG,PHG,ENK,never together,,
gm_oe,2535,Fission,gm,oe,13.217,f,PHG,m,YNT,fm,different,0.0052,0.842,0.667,0.174,PHG,PHG,PHG,ENK,never together,,
gm_oz,1500,Dispersal 2,gm,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.667,0.036,PHG,PHG,ENK,PHG,stayed together,,
gm_oz,1725,Dispersal 1,gm,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.667,0.036,PHG,PHG,ENK,PHG,stayed together,,
gm_oz,2445,Fission,gm,oz,0.050,f,PHG,m,PHG,fm,same,2.04498977505112e-05,0.632,0.667,0.036,PHG,PHG,ENK,PHG,stayed together,,
gm_ph,1530,Dispersal 2,gm,ph,1.483,f,PHG,m,PHG,fm,same,0.0010,0.286,0.667,0.381,PHG,PHG,PHG,PHG,stayed together,,
gm_ph,1740,Dispersal 1,gm,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.667,0.381,PHG,PHG,PHG,PHG,stayed together,,
gm_ph,2520,Fission,gm,ph,28.100,f,PHG,m,PHG,fm,same,0.0112,0.286,0.667,0.381,PHG,PHG,PHG,PHG,stayed together,,
gm_pz,1485,Dispersal 2,gm,pz,0.233,f,PHG,m,PHG,fm,same,0.0002,0.692,0.667,0.024,PHG,PHG,PHG,PHG,stayed together,,
gm_pz,1695,Dispersal 1,gm,pz,3.750,f,PHG,m,PHG,fm,same,0.0022,0.692,0.667,0.024,PHG,PHG,PHG,PHG,stayed together,,
gm_pz,2535,Fission,gm,pz,0.400,f,PHG,m,PHG,fm,same,0.0002,0.692,0.667,0.024,PHG,PHG,PHG,PHG,stayed together,,
gm_s1,1515,Dispersal 2,gm,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.667,0.451,PHG,PHG,ENK,ENK,never together,,
gm_s1,1740,Dispersal 1,gm,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.667,0.451,PHG,PHG,ENK,ENK,never together,,
gm_s1,2550,Fission,gm,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.667,0.451,PHG,PHG,ENK,ENK,never together,,
gm_sn,1530,Dispersal 2,gm,sn,2.567,f,PHG,m,PHG,fm,same,0.0017,0.547,0.667,0.121,PHG,PHG,ENK,PHG,stayed together,,
gm_sn,1650,Dispersal 1,gm,sn,16.467,f,PHG,m,PHG,fm,same,0.0100,0.547,0.667,0.121,PHG,PHG,ENK,PHG,stayed together,,
gm_sn,2490,Fission,gm,sn,4.817,f,PHG,m,PHG,fm,same,0.0019,0.547,0.667,0.121,PHG,PHG,ENK,PHG,stayed together,,
gm_tp,1500,Dispersal 2,gm,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.667,0.010,PHG,PHG,ENK,YNT,split apart,,
gm_tp,1725,Dispersal 1,gm,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.667,0.010,PHG,PHG,ENK,YNT,split apart,,
gm_tp,2550,Fission,gm,tp,14.300,f,PHG,m,ENK,fm,different,0.0056,0.677,0.667,0.010,PHG,PHG,ENK,YNT,split apart,,
gm_ub,375,Dispersal 2,gm,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.667,0.645,PHG,PHG,PHG,PHG,stayed together,,
gm_ub,1425,Fission,gm,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.667,0.645,PHG,PHG,PHG,PHG,stayed together,,
gm_um,840,Dispersal 2,gm,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.667,0.517,PHG,PHG,PHG,PHG,stayed together,,
gm_um,2055,Fission,gm,um,0.233,f,PHG,m,PHG,fm,same,0.0001,0.151,0.667,0.517,PHG,PHG,PHG,PHG,stayed together,,
gm_xc,1710,Dispersal 1,gm,xc,0.000,f,PHG,m,PHG,fm,same,0.0000,0.051,0.667,0.617,PHG,PHG,PHG,PHG,stayed together,,
gm_xh,705,Dispersal 2,gm,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.667,0.500,PHG,PHG,PHG,ENK,never together,,
gm_xh,2460,Fission,gm,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.667,0.500,PHG,PHG,PHG,ENK,never together,,
gm_yn,1500,Dispersal 2,gm,yn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.945,0.667,0.277,PHG,PHG,PHG,YNT,split apart,,
gm_yn,1740,Dispersal 1,gm,yn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.945,0.667,0.277,PHG,PHG,PHG,YNT,split apart,,
gm_yn,2550,Fission,gm,yn,0.000,f,PHG,m,YNT,fm,different,0.0000,0.945,0.667,0.277,PHG,PHG,PHG,YNT,split apart,,
gm_yr,1545,Dispersal 2,gm,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.667,0.060,PHG,PHG,PHG,ENK,never together,,
gm_yr,1725,Dispersal 1,gm,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.667,0.060,PHG,PHG,PHG,ENK,never together,,
gm_yr,2535,Fission,gm,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.667,0.060,PHG,PHG,PHG,ENK,never together,,
gm_yy,1500,Dispersal 2,gm,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.667,0.460,PHG,PHG,ENK,ENK,never together,,
gm_yy,1710,Dispersal 1,gm,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.667,0.460,PHG,PHG,ENK,ENK,never together,,
gm_yy,2580,Fission,gm,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.667,0.460,PHG,PHG,ENK,ENK,never together,,
gr_jj,630,Dispersal 2,gr,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.381,0.124,PHG,PHG,ENK,ENK,never together,,
gr_jj,2565,Fission,gr,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.381,0.124,PHG,PHG,ENK,ENK,never together,,
gr_jy,690,Dispersal 2,gr,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,0.381,0.181,PHG,PHG,PHG,PHG,stayed together,,
gr_jy,2550,Fission,gr,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,0.381,0.181,PHG,PHG,PHG,PHG,stayed together,,
gr_oe,690,Dispersal 2,gr,oe,0.000,f,PHG,m,PHG,fm,same,0.0000,0.842,0.381,0.461,PHG,PHG,PHG,ENK,never together,,
gr_oe,2550,Fission,gr,oe,0.000,f,PHG,m,YNT,fm,different,0.0000,0.842,0.381,0.461,PHG,PHG,PHG,ENK,never together,,
gr_oz,705,Dispersal 2,gr,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.381,0.251,PHG,PHG,ENK,PHG,stayed together,,
gr_oz,2475,Fission,gr,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.381,0.251,PHG,PHG,ENK,PHG,stayed together,,
gr_ph,705,Dispersal 2,gr,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.381,0.095,PHG,PHG,PHG,PHG,stayed together,,
gr_ph,2535,Fission,gr,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.381,0.095,PHG,PHG,PHG,PHG,stayed together,,
gr_pz,690,Dispersal 2,gr,pz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.692,0.381,0.311,PHG,PHG,PHG,PHG,stayed together,,
gr_pz,2550,Fission,gr,pz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.692,0.381,0.311,PHG,PHG,PHG,PHG,stayed together,,
gr_s1,660,Dispersal 2,gr,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.381,0.164,PHG,PHG,ENK,ENK,never together,,
gr_s1,2565,Fission,gr,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.381,0.164,PHG,PHG,ENK,ENK,never together,,
gr_sn,720,Dispersal 2,gr,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,0.381,0.166,PHG,PHG,ENK,PHG,stayed together,,
gr_sn,2505,Fission,gr,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,0.381,0.166,PHG,PHG,ENK,PHG,stayed together,,
gr_tp,645,Dispersal 2,gr,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.381,0.297,PHG,PHG,ENK,YNT,split apart,,
gr_tp,2565,Fission,gr,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.381,0.297,PHG,PHG,ENK,YNT,split apart,,
gr_ub,375,Dispersal 2,gr,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.381,0.358,PHG,PHG,PHG,PHG,stayed together,,
gr_ub,1455,Fission,gr,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.381,0.358,PHG,PHG,PHG,PHG,stayed together,,
gr_um,375,Dispersal 2,gr,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.381,0.230,PHG,PHG,PHG,PHG,stayed together,,
gr_um,2085,Fission,gr,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.381,0.230,PHG,PHG,PHG,PHG,stayed together,,
gr_xh,375,Dispersal 2,gr,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.381,0.213,PHG,PHG,PHG,ENK,never together,,
gr_xh,2475,Fission,gr,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.381,0.213,PHG,PHG,PHG,ENK,never together,,
gr_yn,660,Dispersal 2,gr,yn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.945,0.381,0.564,PHG,PHG,PHG,YNT,split apart,,
gr_yn,2565,Fission,gr,yn,0.000,f,PHG,m,YNT,fm,different,0.0000,0.945,0.381,0.564,PHG,PHG,PHG,YNT,split apart,,
gr_yr,675,Dispersal 2,gr,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.381,0.227,PHG,PHG,PHG,ENK,never together,,
gr_yr,2550,Fission,gr,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.381,0.227,PHG,PHG,PHG,ENK,never together,,
gr_yy,630,Dispersal 2,gr,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.381,0.174,PHG,PHG,ENK,ENK,never together,,
gr_yy,2595,Fission,gr,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.381,0.174,PHG,PHG,ENK,ENK,never together,,
gy_jj,405,Dispersal 2,gy,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.583,0.326,PHG,PHG,ENK,ENK,never together,,
gy_jj,2520,Fission,gy,jj,0.000,f,PHG,m,ENK,fm,different,0.0000,0.257,0.583,0.326,PHG,PHG,ENK,ENK,never together,,
gy_jy,435,Dispersal 2,gy,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,0.583,0.022,PHG,PHG,PHG,PHG,stayed together,,
gy_jy,2505,Fission,gy,jy,0.000,f,PHG,m,PHG,fm,same,0.0000,0.561,0.583,0.022,PHG,PHG,PHG,PHG,stayed together,,
gy_oe,435,Dispersal 2,gy,oe,0.000,f,PHG,m,PHG,fm,same,0.0000,0.842,0.583,0.259,PHG,PHG,PHG,ENK,never together,,
gy_oe,2505,Fission,gy,oe,0.000,f,PHG,m,YNT,fm,different,0.0000,0.842,0.583,0.259,PHG,PHG,PHG,ENK,never together,,
gy_oz,435,Dispersal 2,gy,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.583,0.049,PHG,PHG,ENK,PHG,stayed together,,
gy_oz,2430,Fission,gy,oz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.632,0.583,0.049,PHG,PHG,ENK,PHG,stayed together,,
gy_ph,450,Dispersal 2,gy,ph,0.000,f,PHG,m,PHG,fm,same,0.0000,0.286,0.583,0.297,PHG,PHG,PHG,PHG,stayed together,,
gy_ph,2490,Fission,gy,ph,3.250,f,PHG,m,PHG,fm,same,0.0013,0.286,0.583,0.297,PHG,PHG,PHG,PHG,stayed together,,
gy_pz,435,Dispersal 2,gy,pz,0.000,f,PHG,m,PHG,fm,same,0.0000,0.692,0.583,0.109,PHG,PHG,PHG,PHG,stayed together,,
gy_pz,2505,Fission,gy,pz,6.633,f,PHG,m,PHG,fm,same,0.0026,0.692,0.583,0.109,PHG,PHG,PHG,PHG,stayed together,,
gy_s1,420,Dispersal 2,gy,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.583,0.366,PHG,PHG,ENK,ENK,never together,,
gy_s1,2520,Fission,gy,s1,0.000,f,PHG,m,ENK,fm,different,0.0000,0.217,0.583,0.366,PHG,PHG,ENK,ENK,never together,,
gy_sn,465,Dispersal 2,gy,sn,0.000,f,PHG,m,PHG,fm,same,0.0000,0.547,0.583,0.036,PHG,PHG,ENK,PHG,stayed together,,
gy_sn,2460,Fission,gy,sn,7.983,f,PHG,m,PHG,fm,same,0.0032,0.547,0.583,0.036,PHG,PHG,ENK,PHG,stayed together,,
gy_tp,420,Dispersal 2,gy,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.583,0.094,PHG,PHG,ENK,YNT,split apart,,
gy_tp,2520,Fission,gy,tp,0.000,f,PHG,m,ENK,fm,different,0.0000,0.677,0.583,0.094,PHG,PHG,ENK,YNT,split apart,,
gy_ub,45,Dispersal 2,gy,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.583,0.560,PHG,PHG,PHG,PHG,stayed together,,
gy_ub,1410,Fission,gy,ub,0.000,f,PHG,m,PHG,fm,same,0.0000,0.023,0.583,0.560,PHG,PHG,PHG,PHG,stayed together,,
gy_um,45,Dispersal 2,gy,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.583,0.432,PHG,PHG,PHG,PHG,stayed together,,
gy_um,2040,Fission,gy,um,0.000,f,PHG,m,PHG,fm,same,0.0000,0.151,0.583,0.432,PHG,PHG,PHG,PHG,stayed together,,
gy_xh,45,Dispersal 2,gy,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.583,0.415,PHG,PHG,PHG,ENK,never together,,
gy_xh,2430,Fission,gy,xh,0.000,f,PHG,m,PHG,fm,same,0.0000,0.168,0.583,0.415,PHG,PHG,PHG,ENK,never together,,
gy_yn,420,Dispersal 2,gy,yn,0.000,f,PHG,m,ENK,fm,different,0.0000,0.945,0.583,0.362,PHG,PHG,PHG,YNT,split apart,,
gy_yn,2520,Fission,gy,yn,0.000,f,PHG,m,YNT,fm,different,0.0000,0.945,0.583,0.362,PHG,PHG,PHG,YNT,split apart,,
gy_yr,435,Dispersal 2,gy,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.583,0.024,PHG,PHG,PHG,ENK,never together,,
gy_yr,2505,Fission,gy,yr,0.000,f,PHG,m,ENK,fm,different,0.0000,0.607,0.583,0.024,PHG,PHG,PHG,ENK,never together,,
gy_yy,390,Dispersal 2,gy,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.583,0.376,PHG,PHG,ENK,ENK,never together,,
gy_yy,2550,Fission,gy,yy,0.000,f,PHG,m,ENK,fm,different,0.0000,0.207,0.583,0.376,PHG,PHG,ENK,ENK,never together,,
jj_o6,1470,Dispersal 2,jj,o6,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.144,0.112,ENK,ENK,PHG,YNT,briefly together,,
jj_o6,1470,Stable,jj,o6,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.144,0.112,ENK,ENK,PHG,YNT,briefly together,,
jj_o6,1695,Dispersal 1,jj,o6,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.144,0.112,ENK,ENK,PHG,YNT,briefly together,,
jj_o6,2370,Fission,jj,o6,0.000,m,ENK,f,YNT,fm,different,0.0000,0.257,0.144,0.112,ENK,ENK,PHG,YNT,briefly together,,
jj_oa,1485,Dispersal 2,jj,oa,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.669,0.413,ENK,ENK,PHG,YNT,briefly together,,
jj_oa,1785,Dispersal 1,jj,oa,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.669,0.413,ENK,ENK,PHG,YNT,briefly together,,
jj_oa,2370,Fission,jj,oa,0.000,m,ENK,f,YNT,fm,different,0.0000,0.257,0.669,0.413,ENK,ENK,PHG,YNT,briefly together,,
jj_oa,3555,Stable,jj,oa,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.669,0.413,ENK,ENK,PHG,YNT,briefly together,,
jj_ob,1470,Dispersal 2,jj,ob,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.436,0.179,ENK,ENK,PHG,YNT,briefly together,,
jj_ob,1740,Dispersal 1,jj,ob,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.436,0.179,ENK,ENK,PHG,YNT,briefly together,,
jj_ob,2385,Fission,jj,ob,0.000,m,ENK,f,YNT,fm,different,0.0000,0.257,0.436,0.179,ENK,ENK,PHG,YNT,briefly together,,
jj_ob,3555,Stable,jj,ob,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.436,0.179,ENK,ENK,PHG,YNT,briefly together,,
jj_oo,1440,Dispersal 2,jj,oo,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.648,0.392,ENK,ENK,PHG,YNT,briefly together,,
jj_oo,1725,Dispersal 1,jj,oo,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.648,0.392,ENK,ENK,PHG,YNT,briefly together,,
jj_oo,2385,Fission,jj,oo,0.000,m,ENK,f,YNT,fm,different,0.0000,0.257,0.648,0.392,ENK,ENK,PHG,YNT,briefly together,,
jj_oo,3585,Stable,jj,oo,9.367,m,ENK,f,PHG,fm,different,0.0026,0.257,0.648,0.392,ENK,ENK,PHG,YNT,briefly together,,
jj_oy,1515,Dispersal 2,jj,oy,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.030,0.226,ENK,ENK,PHG,PHG,never together,,
jj_oy,1785,Dispersal 1,jj,oy,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.030,0.226,ENK,ENK,PHG,PHG,never together,,
jj_oy,2535,Fission,jj,oy,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.030,0.226,ENK,ENK,PHG,PHG,never together,,
jj_oy,3525,Stable,jj,oy,0.000,m,ENK,f,PHG,fm,different,0.0000,0.257,0.030,0.226,ENK,ENK,PHG,PHG,never together,,
jj_qc,1500,Dispersal 2,jj,qc,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.636,0.379,ENK,ENK,ENK,ENK,stayed together,,
jj_qc,1665,Dispersal 1,jj,qc,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.636,0.379,ENK,ENK,ENK,ENK,stayed together,,
jj_qc,1800,Stable,jj,qc,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.636,0.379,ENK,ENK,ENK,ENK,stayed together,,
jj_qc,2580,Fission,jj,qc,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.636,0.379,ENK,ENK,ENK,ENK,stayed together,,
jj_qn,1470,Dispersal 2,jj,qn,0.000,m,ENK,f,ENK,fm,same,0.0000,0.257,0.559,0.302,ENK,ENK,ENK,ENK,stayed together,,
jj_qn,1635,Dispersal 1,jj,qn,11.117,m,ENK,f,ENK,fm,same,0.0068,0.257,0.559,0.302,ENK,ENK,ENK,ENK,stayed together,,
